NCTId,BriefTitle,DetailedDescription,Phase,Status,WhyStopped,Interventions,Conditions,Sponsor,InterventionText,is_small_molecule,WhyStopped_clean,toxicity_flag,DrugName
NCT02901431,A Study to Investigate the Efficacy and Safety of Balovaptan (RO5285119) in Participants With Autism Spectrum Disorder (ASD),,[],TERMINATED,The 24-week analysis indicated no clinical or statistical benefit for the primary endpoint for the overall study population. No new safety concerns identified.,"[{'type': 'DRUG', 'name': 'Placebo', 'description': 'Participants received a matching placebo orally. Approximate treatment duration was up to 24 weeks.', 'armGroupLabels': ['Placebo']}, {'type': 'DRUG', 'name': 'RO5285119', 'description': 'Participants received age-adjusted total daily oral dose approximately equivalent to the adult doses of either 4 mg/d or 10 mg/d of balovaptan (RO5285119). Approximate treatment duration was up to 24 weeks (up to 52 additional weeks for those enrolled in the OLE).', 'armGroupLabels': ['Balovaptan (RO5285119) 10 mg/d equivalent', 'Balovaptan (RO5285119) 4 mg/d equivalent']}]",['Autism Spectrum Disorder'],Hoffmann-La Roche,"[{'type': 'drug', 'name': 'placebo', 'description': 'participants received a matching placebo orally. approximate treatment duration was up to 24 weeks.', 'armgrouplabels': ['placebo']}, {'type': 'drug', 'name': 'ro5285119', 'description': 'participants received age-adjusted total daily oral dose approximately equivalent to the adult doses of either 4 mg/d or 10 mg/d of balovaptan (ro5285119). approximate treatment duration was up to 24 weeks (up to 52 additional weeks for those enrolled in the ole).', 'armgrouplabels': ['balovaptan (ro5285119) 10 mg/d equivalent', 'balovaptan (ro5285119) 4 mg/d equivalent']}]",True,the 24-week analysis indicated no clinical or statistical benefit for the primary endpoint for the overall study population. no new safety concerns identified.,True,placebo
NCT05125679,Effect of Guselkumab on Cardiovascular Risk Surrogate Markers in Participants With Moderate to Severe Plaque Psoriasis,"Psoriasis is a common chronic inflammatory disease that affects 2 percent (%)-3% of the population and has an impact on physical and emotional health-related quality-of-life that is comparable to major illnesses such as cancer, heart disease and depression. Guselkumab is a fully human immunoglobulin G1 lambda monoclonal antibody that binds to the p19 protein subunit of human interleukin 23 (IL-23) with high specificity and affinity. Binding of guselkumab to the IL-23 p19 subunit blocks the binding of extracellular IL-23 to the cell surface IL-23 receptor, inhibiting IL-23 specific intracellular signaling and subsequent cytokine production. Guselkumab is indicated for the treatment of moderate-to-severe plaque psoriasis in adults who are candidates for systemic therapy. This study aims to investigate the efficacy of guselkumab in reducing surrogate parameters of vascular dysfunction and cardiovascular risk. This study will consist of two Screening Visits (Screening Visit S1 at a maximum of 2 weeks prior to Screening Visit S2, to occur at a minimum of 2 weeks and maximum of 4 weeks prior to Week 0), a Treatment Phase (up to 28 weeks), Final Efficacy Visit 4 weeks later (Week 32), and Final Safety Visit (Week 40). The efficacy assessments will be done locally at the sites and safety will be monitored by assessment of adverse events, clinical laboratory tests, physical examinations, vital signs, and concomitant medication review. The total duration of the study will be 40 weeks.",[],TERMINATED,Terminated (A strategic decision was made not to further execute the study. This decision was not based on a safety concern),"[{'type': 'DRUG', 'name': 'Guselkumab', 'description': 'Guselkumab will be administered by subcutaneous injection.', 'armGroupLabels': ['Guselkumab']}]",['Psoriasis'],Janssen-Cilag Ltd.,"[{'type': 'drug', 'name': 'guselkumab', 'description': 'guselkumab will be administered by subcutaneous injection.', 'armgrouplabels': ['guselkumab']}]",True,terminated (a strategic decision was made not to further execute the study. this decision was not based on a safety concern),True,guselkumab
NCT02362321,Role of Dexamethasone in the Conservative Treatment of Chronic Subdural Hematoma,"Patients Recruitment for this single-center double-blind randomized placebo-controlled study was performed between January 2007 and May 2009. Patients were enrolled based on the following inclusion criteria: 18 years and older with evidence of subacute or chronic supratentorial subdural hematoma by CT (computerized tomography) scan or MRI (magnetic resonance imaging) and classified between 0 and 2 using the Markwalder grading scale (17) (Grade 0 for normal neurological status, grade 1 for no neurological deficits but mild symptoms, grade 2 for focal or variable neurological deficits, grade 3 for several focal neurological signs, and grade 4 for comatose). Exclusion criteria included contraindications or intolerance to corticosteroid therapy or patients already undergoing steroid treatment for any other indication, previous neurological surgery up to one year prior to being considered for the study, concomitant cerebral pathology of neoplastic or presumed infectious origin, anticoagulant therapy that could not be stopped for 6 months and refusal to participate in the study. If at any time, patients developed a sudden increase in hematoma volume, a midline displacement of greater than 1cm or a deterioration of their level of consciousness, they were removed from the conservative study protocol in order to undergo surgery.

This study was approved by the research ethics board at Centre Hospitalier Universitaire (CHU) de Quebec. Written and fully informed consent was obtained from each participant.

Randomization Allocation to each group was done in a 1:1 ratio with block sizes ranging from 4 to 6, to one of the two arms ; a treatment arm in which participants received dexamethasone according to the protocol, and a control group in which they received placebo. Randomization was performed via a web-based service by a pharmacist, which was not involved in any other part of the study. Both investigators and participants were blind to treatment allocation.

Treatment Participants allocated to the treatment group received a daily dosage of 12mg (4mg three times a day) of dexamethasone for three weeks. Corticosteroid treatment was then tapered off over the next week (8mg for 48 hrs, 4mg for 48 hrs, 2mg for 48 hrs and 1mg for 24 hrs). Identical oral capsules filled with lactose were administered to the control (placebo) group for 28 days. Participants were returned at home with blister packs containing their medication for each day of the trial and were asked to return empty packs to ensure compliance with the assigned treatment. The treatment (placebo or dexamethasone) was discontinued if a patient required surgical drainage of its hematoma or suffered from significant side effects.

Evaluation and follow-up The primary outcome of this pilot study was to determine the efficacy of dexamethasone as compared with placebo in reducing the rate of surgical intervention for CSDH graded 0 to 2 on the Markwalder grading scale (Grade 0 for normal neurological status, grade 1 for no neurological deficits but mild symptoms, grade 2 for focal or variable neurological deficits, grade 3 for several focal neurological signs, and grade 4 for comatose).

Eligible patients who consented for the study underwent the routine standard of care. This included 1) a complete medical history review and neurological physical exam ; 2) head computerized tomography (CT) or MRI with measurement of maximal hematoma thickness (in mm), midline shift ; 3) and a check of blood and vital parameters. In addition, patients were asked to complete detailed questionnaires measuring symptoms typically associated with subdural hematomas.

Follow-up appointments were scheduled 2 weeks, 1, 2 and 6 months after initiation of treatment. At each visit, the three components of the clinical evaluation described above were repeated. Moreover, a seven point categorical scale was used to evaluate patient's global impression of change relative to the initial state (unchanged , very much improved, much improved, minimally improved, minimally worse, much worse, very much worse). Treatment-related side effects were also inquired about and collected.

The rate of success of conservative management was defined as the percentage of patients not requiring surgery in each treatment group during the 6 months following enrollment. Radiological progression of the hematoma in terms of thickness and magnitude of midline shift, hematoma-related symptoms and medication-related side effects were carefully collected.

Statistical analyses Demographical characteristics, baseline neurological status and hematoma size and location were compared for both groups using a Mann-Whitney test for continuous variable and a χ2 test for categorical variables.

To compare the rate of success, a categorical frequency comparison with the Fisher's exact test was used. For the other outcome measures we used Mann-Whitney U test and Student's t-test for normally distributed variables and χ2 or Fisher's exact test for categorical frequencies. All statistical tests were done with the Statistical package for Social Sciences software version 16.0 and the significance threshold was set at p\<0.05.",[],TERMINATED,Due to serious adverse events,"[{'type': 'DRUG', 'name': 'Dexamethasone', 'description': 'Patients received a daily dosage of 12mg (4mg three times a day) of dexamethasone for three weeks. Corticosteroid treatment was then tapered off over the next week (8mg for 48 hrs, 4mg for 48 hrs, 2mg for 48 hrs and 1mg for 24 hrs).', 'armGroupLabels': ['Dexamethasone'], 'otherNames': ['Corticosteroid', 'Decadron']}, {'type': 'OTHER', 'name': 'Placebo', 'description': 'Identical oral capsules filled with lactose were administered to the control (placebo) group for 28 days.', 'armGroupLabels': ['Control']}]","['Hematoma, Subdural, Chronic']",CHU de Quebec-Universite Laval,"[{'type': 'drug', 'name': 'dexamethasone', 'description': 'patients received a daily dosage of 12mg (4mg three times a day) of dexamethasone for three weeks. corticosteroid treatment was then tapered off over the next week (8mg for 48 hrs, 4mg for 48 hrs, 2mg for 48 hrs and 1mg for 24 hrs).', 'armgrouplabels': ['dexamethasone'], 'othernames': ['corticosteroid', 'decadron']}, {'type': 'other', 'name': 'placebo', 'description': 'identical oral capsules filled with lactose were administered to the control (placebo) group for 28 days.', 'armgrouplabels': ['control']}]",True,due to serious adverse events,True,dexamethasone
NCT01829464,TAK-875 (Fasiglifam) in Combination With Sitagliptin in Adults With Type 2 Diabetes,"The drug being tested in this study is called TAK-875 (fasiglifam). Fasiglifam is being tested to treat people who have type 2 diabetes mellitus and are currently taking sitagliptin (with or without metformin). This study will evaluate glycemic control in people who take fasiglifam plus sitagliptin compared with placebo plus sitagliptin.

The study will enroll approximately 390 patients. Participants will be randomly assigned (by chance, like flipping a coin) to one of the three treatment groups-which will remain undisclosed to the patient and study doctor during the study (unless there is an urgent medical need; all participants will be on 100 mg sitagliptin and may or may not be on metformin background treatment):

* fasiglifam 25 mg
* fasiglifam 50 mg
* Placebo (dummy inactive pill) - this is a tablet that looks like the study drug but has no active ingredient All participants will be asked to take one tablet at the same time each day throughout the study.

This multi-centre trial will be conducted in North America and Latin America. The overall time to participate in this study is approximately 38 weeks. Participants will make 15 visits to the clinic.

Due to potential concerns about liver safety, on balance, the benefits of treating patients with fasiglifam (TAK-875) do not outweigh the potential risks.

For this reason, Takeda has decided voluntarily to terminate the development activities for fasiglifam.",[],TERMINATED,Due to potential concerns about liver safety (See Detailed Description),"[{'type': 'DRUG', 'name': 'Placebo', 'description': 'TAK-875 placebo-matching tablets', 'armGroupLabels': ['Placebo']}, {'type': 'DRUG', 'name': 'TAK-875', 'description': 'TAK-875 tablets', 'armGroupLabels': ['TAK-875 25 mg']}, {'type': 'DRUG', 'name': 'TAK-875', 'description': 'TAK-875 tablets', 'armGroupLabels': ['TAK-875 50 mg']}]",['Diabetes'],Takeda,"[{'type': 'drug', 'name': 'placebo', 'description': 'tak-875 placebo-matching tablets', 'armgrouplabels': ['placebo']}, {'type': 'drug', 'name': 'tak-875', 'description': 'tak-875 tablets', 'armgrouplabels': ['tak-875 25 mg']}, {'type': 'drug', 'name': 'tak-875', 'description': 'tak-875 tablets', 'armgrouplabels': ['tak-875 50 mg']}]",True,due to potential concerns about liver safety (see detailed description),True,placebo
NCT05219864,Topical Ruxolitinib Evaluation in Chronic Hand Eczema Study 1,,[],WITHDRAWN,Business decision; no safety concerns.,"[{'type': 'DRUG', 'name': 'Ruxolitinib cream', 'description': 'Ruxolitinib cream is a topical formulation applied as a thin film to affected areas.', 'armGroupLabels': ['Ruxolitinib'], 'otherNames': ['INCB18424 cream']}, {'type': 'DRUG', 'name': 'Vehicle', 'description': 'Vehicle cream is a topical formulation applied as a thin film to affected areas.', 'armGroupLabels': ['Vehicle']}]",['Hand Eczema'],Incyte Corporation,"[{'type': 'drug', 'name': 'ruxolitinib cream', 'description': 'ruxolitinib cream is a topical formulation applied as a thin film to affected areas.', 'armgrouplabels': ['ruxolitinib'], 'othernames': ['incb18424 cream']}, {'type': 'drug', 'name': 'vehicle', 'description': 'vehicle cream is a topical formulation applied as a thin film to affected areas.', 'armgrouplabels': ['vehicle']}]",True,business decision; no safety concerns.,True,ruxolitinib cream
NCT01483690,A Pilot Study of Decitabine and Vorinostat With Chemotherapy for Relapsed ALL,"Decitabine is a demethylating agent and vorinostat is a HDAC inhibitor. The use of demethylating agents and HDAC inhibitors in combination have been previously shown to have synergistic effects in altering neoplastic pathways of cancer cells and be well tolerated in human clinical studies. With the ability of decitabine and vorinostat to alter the abnormal cellular pathways of leukemic blasts and essentially turn off anti-apoptotic proteins, the leukemia cells have become primed for cytotoxic cell kill via chemotherapeutic agents. This study will ask the question as to whether or not the combination of decitabine and vorinostat followed by chemotherapy is feasible and whether it can positively impact outcome in patients with relapsed or refractory acute lymphoblastic leukemia.",[],TERMINATED,Toxicity,"[{'type': 'DRUG', 'name': 'Decitabine', 'description': '10 mg/m2/day given IV over 1 hour on days 1 through 5 and days 15 through 19.', 'armGroupLabels': ['Initial Dose Level', 'Modified Dose Level'], 'otherNames': ['Dacogen']}, {'type': 'DRUG', 'name': 'Vorinostat', 'description': '180 mg/m2/day (Max dose=400mg daily) given orally on days 2 through 7 and days 16 through 21.', 'armGroupLabels': ['Initial Dose Level', 'Modified Dose Level'], 'otherNames': ['Zolinza', 'suberoylanilide hydroxamic acid (SAHA)']}, {'type': 'DRUG', 'name': 'Vincristine', 'description': '1.5 mg/m2/day (Max dose 2 mg) given IV push on days 10, 17, 24 and 31.', 'armGroupLabels': ['Initial Dose Level', 'Modified Dose Level'], 'otherNames': ['Oncovin', 'Vincasar PFS', 'Vincrex', 'vincristine sulfate', 'VCR']}, {'type': 'DRUG', 'name': 'Dexamethasone', 'description': '20 mg/m2/day divided BID given orally on days 8 through 12 and 22 through 26.', 'armGroupLabels': ['Initial Dose Level', 'Modified Dose Level'], 'otherNames': ['Decadron', 'Dexamethasone Intensol', 'dexamethasone acetate', 'dexamethasone sodium phosphate']}, {'type': 'DRUG', 'name': 'Mitoxantrone', 'description': '10 mg/m2/day given on days 8 and 9 as a short IV infusion over 5-15 minutes; do not infuse over less than 3 minutes', 'armGroupLabels': ['Initial Dose Level', 'Modified Dose Level'], 'otherNames': ['Novantrone', 'DHAD', 'DHAQ']}, {'type': 'DRUG', 'name': 'Pegaspargase', 'description': '2500 international units/m2/day IM or IV on days 10 and 24.', 'armGroupLabels': ['Initial Dose Level', 'Modified Dose Level'], 'otherNames': ['Oncospar', 'PEG-L-asparaginase']}, {'type': 'DRUG', 'name': 'Methotrexate', 'description': 'Given intrathecally to all patients the dose defined by age below.\n\n* 8 mg for patients age 1-1.99\n* 10 mg for patients age 2-2.99\n* 12 mg for patients 3-8.99 years of age\n* 15 mg for patients \\>9 years of age\n\nCNS 1 or 2 patients get doses on day 8, 22 and 35 and CNS 3 patients should get doses on day 8, 15, 22, 29 and 35', 'armGroupLabels': ['Initial Dose Level', 'Modified Dose Level'], 'otherNames': ['Folex', 'Mexate', 'MTX', 'Methotrex']}]","['Acute Lymphoblastic Leukemia', 'Precursor B-Cell Lymphoblastic Leukemia', 'Precursor T-Cell Lymphoblastic Leukemia']",Therapeutic Advances in Childhood Leukemia Consortium,"[{'type': 'drug', 'name': 'decitabine', 'description': '10 mg/m2/day given iv over 1 hour on days 1 through 5 and days 15 through 19.', 'armgrouplabels': ['initial dose level', 'modified dose level'], 'othernames': ['dacogen']}, {'type': 'drug', 'name': 'vorinostat', 'description': '180 mg/m2/day (max dose=400mg daily) given orally on days 2 through 7 and days 16 through 21.', 'armgrouplabels': ['initial dose level', 'modified dose level'], 'othernames': ['zolinza', 'suberoylanilide hydroxamic acid (saha)']}, {'type': 'drug', 'name': 'vincristine', 'description': '1.5 mg/m2/day (max dose 2 mg) given iv push on days 10, 17, 24 and 31.', 'armgrouplabels': ['initial dose level', 'modified dose level'], 'othernames': ['oncovin', 'vincasar pfs', 'vincrex', 'vincristine sulfate', 'vcr']}, {'type': 'drug', 'name': 'dexamethasone', 'description': '20 mg/m2/day divided bid given orally on days 8 through 12 and 22 through 26.', 'armgrouplabels': ['initial dose level', 'modified dose level'], 'othernames': ['decadron', 'dexamethasone intensol', 'dexamethasone acetate', 'dexamethasone sodium phosphate']}, {'type': 'drug', 'name': 'mitoxantrone', 'description': '10 mg/m2/day given on days 8 and 9 as a short iv infusion over 5-15 minutes; do not infuse over less than 3 minutes', 'armgrouplabels': ['initial dose level', 'modified dose level'], 'othernames': ['novantrone', 'dhad', 'dhaq']}, {'type': 'drug', 'name': 'pegaspargase', 'description': '2500 international units/m2/day im or iv on days 10 and 24.', 'armgrouplabels': ['initial dose level', 'modified dose level'], 'othernames': ['oncospar', 'peg-l-asparaginase']}, {'type': 'drug', 'name': 'methotrexate', 'description': 'given intrathecally to all patients the dose defined by age below.\n\n* 8 mg for patients age 1-1.99\n* 10 mg for patients age 2-2.99\n* 12 mg for patients 3-8.99 years of age\n* 15 mg for patients \\>9 years of age\n\ncns 1 or 2 patients get doses on day 8, 22 and 35 and cns 3 patients should get doses on day 8, 15, 22, 29 and 35', 'armgrouplabels': ['initial dose level', 'modified dose level'], 'othernames': ['folex', 'mexate', 'mtx', 'methotrex']}]",True,toxicity,True,decitabine
NCT06735079,A Study to Evaluate the Efficacy and Safety of REL-1017 As Adjunctive Treatment of Major Depressive Disorder (MDD),,[],WITHDRAWN,The study was withdrawn based on business-related matters and there are no new safety concerns related to the trial. No patients were enrolled.,"[{'type': 'DRUG', 'name': 'REL1017 (esmethadone HCI) (active drug)', 'description': 'REL-1017 is an investigational drug administered as an oral tablet, once daily. The dosing regimen includes a 75 mg dose on Day 1 (three tablets) in the clinic, followed by 25 mg daily (one tablet) at home from Day 2 to Day 28, with regular safety, efficacy, and tolerability assessments REL-1017 (esmethadone HCl) is under investigation as a novel NMDAR antagonist. Unlike racemic methadone, it lacks opioid-like effects such as dependency or respiratory depression. REL-1017 also lacks dissociative effects seen with more potent NMDAR antagonists such as ketamine. Finally, REL-1017 does not appear to have metabolic or neurological side effects.', 'armGroupLabels': ['REL 1017-305']}, {'type': 'DRUG', 'name': 'Placebo', 'description': ""The placebo serves as a control to evaluate the effectiveness and safety of REL-1017. It is an inactive substance that matches the active drug in appearance but contains no active ingredients. The placebo group allows researchers to compare outcomes, such as changes in depressive symptoms, with the active drug group.\n\nThe double-blind design ensures neither participants nor researchers know who is receiving the active treatment or placebo, eliminating bias. The placebo also helps assess whether observed side effects are due to the drug or unrelated factors.\n\nParticipants are randomly assigned to receive either REL-1017 or the placebo, both administered once daily for 28 days. This helps establish REL-1017's clinical effectiveness and safety in treating Major Depressive Disorder (MDD)."", 'armGroupLabels': ['Placebo']}]",['Major Depressive Disorder (MDD)'],MGGM LLC,"[{'type': 'drug', 'name': 'rel1017 (esmethadone hci) (active drug)', 'description': 'rel-1017 is an investigational drug administered as an oral tablet, once daily. the dosing regimen includes a 75 mg dose on day 1 (three tablets) in the clinic, followed by 25 mg daily (one tablet) at home from day 2 to day 28, with regular safety, efficacy, and tolerability assessments rel-1017 (esmethadone hcl) is under investigation as a novel nmdar antagonist. unlike racemic methadone, it lacks opioid-like effects such as dependency or respiratory depression. rel-1017 also lacks dissociative effects seen with more potent nmdar antagonists such as ketamine. finally, rel-1017 does not appear to have metabolic or neurological side effects.', 'armgrouplabels': ['rel 1017-305']}, {'type': 'drug', 'name': 'placebo', 'description': ""the placebo serves as a control to evaluate the effectiveness and safety of rel-1017. it is an inactive substance that matches the active drug in appearance but contains no active ingredients. the placebo group allows researchers to compare outcomes, such as changes in depressive symptoms, with the active drug group.\n\nthe double-blind design ensures neither participants nor researchers know who is receiving the active treatment or placebo, eliminating bias. the placebo also helps assess whether observed side effects are due to the drug or unrelated factors.\n\nparticipants are randomly assigned to receive either rel-1017 or the placebo, both administered once daily for 28 days. this helps establish rel-1017's clinical effectiveness and safety in treating major depressive disorder (mdd)."", 'armgrouplabels': ['placebo']}]",True,the study was withdrawn based on business-related matters and there are no new safety concerns related to the trial. no patients were enrolled.,True,rel1017 (esmethadone hci) (active drug)
NCT00998764,A Long-Term Safety And Tolerability Extension Study Of Bapineuzumab In Alzheimer Disease Patients,,[],TERMINATED,"The study was terminated on August 6, 2012, because 2 large Phase 3 studies showed no clinical benefit. This decision was not based on any new safety concerns.","[{'type': 'DRUG', 'name': 'Bapineuzumab 0.5 mg/kg', 'description': 'I.V., 0.5 mg/kg, infusion every 13 weeks for a total of 16 infusions.', 'armGroupLabels': ['Bapineuzumab 0.5 mg/kg'], 'otherNames': ['AAB-001']}]",['Alzheimer Disease'],Pfizer,"[{'type': 'drug', 'name': 'bapineuzumab 0.5 mg/kg', 'description': 'i.v., 0.5 mg/kg, infusion every 13 weeks for a total of 16 infusions.', 'armgrouplabels': ['bapineuzumab 0.5 mg/kg'], 'othernames': ['aab-001']}]",True,"the study was terminated on august 6, 2012, because 2 large phase 3 studies showed no clinical benefit. this decision was not based on any new safety concerns.",True,bapineuzumab 0.5 mg/kg
NCT03593564,Knowledge and Interpersonal Skills to Develop Exemplary Relationships,,[],TERMINATED,The study team experienced technology challenges with the digital platform used to deliver the intervention and to collect data. Data collection surveys would be automatically sent to participants before participants completed intervention modules.,"[{'type': 'BEHAVIORAL', 'name': 'KINDER', 'description': ""KINDER is an online course for people assisting an older adult with dementia. It is intended to improve the quality of caregiver's relationship with the care recipient and reduce the chance of risky relationship behavior (e.g., yelling). Courses will cover topics including understanding cognitive impairments, navigating evolving roles, and dealing with frustration. During this course, participants will learn skills to deal with difficult situations caregivers frequently encounter in ways that support a healthy caregiving relationship. Videos will be story-based and represent different types of caregiving relationships and challenges encountered."", 'armGroupLabels': ['KINDER Participant']}]","['Caregivers', 'Family Relations', 'Domestic Violence', 'Elder Abuse']",University of Southern California,"[{'type': 'behavioral', 'name': 'kinder', 'description': ""kinder is an online course for people assisting an older adult with dementia. it is intended to improve the quality of caregiver's relationship with the care recipient and reduce the chance of risky relationship behavior (e.g., yelling). courses will cover topics including understanding cognitive impairments, navigating evolving roles, and dealing with frustration. during this course, participants will learn skills to deal with difficult situations caregivers frequently encounter in ways that support a healthy caregiving relationship. videos will be story-based and represent different types of caregiving relationships and challenges encountered."", 'armgrouplabels': ['kinder participant']}]",True,the study team experienced technology challenges with the digital platform used to deliver the intervention and to collect data. data collection surveys would be automatically sent to participants before participants completed intervention modules.,True,
NCT05360264,tailOred dRug repurposIng of dEcitabine in KRAS-dependeNt refracTory pAncreaTic cancEr,"TYPE OF STUDY: Phase II study, open label, multicentre, single arm, interventional, Non-randomized ￼ TARGET POPULATION: Advanced (locally advanced or metastatic), pre-treated PDAC patients, progressing after at least one and no more than two lines of systemic therapy, whose tumors express a KRAS-dependency signature.

￼ RATIONALE. BACKGROUND: KRAS gene mutations occur in 95% of PDAC. Inhibitors targeting the prevalent KRASG12V and KRASG12D mutations in PDAC have yet to reach the clinical setting. Oncogenic KRAS-driven signatures have been derived from PDAC cancer models. Based on these, it is possible to identify a subset of PDACs that are highly addicted to oncogenic KRAS, and referred to as KRAS-dependent tumors (dKRAS), in which the direct targeting of KRAS or KRAS-dependent phenotypes reduced tumor growth. Notably, KRAS dependency was associated with a rewiring of nucleotide metabolism and the inhibition of pyrimidine biosynthesis was sufficient to inhibit the growth of dKRAS PDAC cells. In contrast, tumors that, though harboring KRAS mutations, do not display KRAS dependency are resistant to anti-KRAS targeting.

Decitabine (DEC) is FDA-approved for the treatment of myelodysplastic syndromes and acute myeloid leukaemia. Importantly, phase-I and -II clinical trials of DEC have defined a recommended phase II dose (RP2D) for DEC monotherapy in solid tumors.

HYPOTHESES AND RATIONALE: Preclinical studies show that DEC has cytotoxic activity and inhibits the growth of dKRAS PDAC, whereas KRAS-independent PDACs are not responsive. Based on solid preclinical studies and the scientific literature, the investigators' hypotheses are that: i) DEC is a potent anticancer drug inhibiting pyrimidine homeostasis and eliciting DNA damage in PDAC with a KRAS dependency; ii) The KRAS dependency of tumors can be analytically defined by computational scores based on the analysis of the gene expression signature on tumor biopsy; iii) These genetic scores might have a prognostic value. Based on these hypotheses, the investigators propose a proof-of-concept, biomarker-driven, phase-II clinical trial to explore the activity of DEC repurposing against advanced, refractory KRAS-dependent PDAC.

OBJECTIVES: The primary objective of the trial is to provide proof-of-concept of DEC antitumor activity in dKRAS metastatic PDAC.

Secondary objectives of the trial are to assess the feasibility of a molecularly tailored approach in advanced, pre-treated PDAC, as well as to assess treatment safety and tolerability, clinical benefit, impact on quality of life, and survival outcomes.",[],TERMINATED,Unexpected toxicity events were documented during interim safety evaluations of the investigational drug.,"[{'type': 'DRUG', 'name': 'Decitabine 50 MG [Dacogen]', 'description': 'DACOGEN will be administered i.v. over 1 hour, at the dose of 10 mg/m2/d, daily on days 1-5 and 8-12 of each 4-wk cycle.', 'armGroupLabels': ['Experimental group'], 'otherNames': ['Dacogen']}]","['Pancreatic Adenocarcinoma Metastatic', 'Pancreatic Adenocarcinoma Recurrent']",Luca Cardone,"[{'type': 'drug', 'name': 'decitabine 50 mg [dacogen]', 'description': 'dacogen will be administered i.v. over 1 hour, at the dose of 10 mg/m2/d, daily on days 1-5 and 8-12 of each 4-wk cycle.', 'armgrouplabels': ['experimental group'], 'othernames': ['dacogen']}]",True,unexpected toxicity events were documented during interim safety evaluations of the investigational drug.,True,decitabine 50 mg [dacogen]
NCT00230490,Open-label Treatment Extension Study for Patients Who Complete Study RNA200103-201,"* Compare the long-term safety of pradefovir to adefovir dipivoxyl
* Monitor development of resistance
* Evaluate virologic and biochemical response",[],TERMINATED,Adverse findings from nonclinical carcinogenicity studies.,"[{'type': 'DRUG', 'name': 'pradefovir mesylate'}, {'type': 'DRUG', 'name': 'adefovir dipivoxyl'}]","['Hepatitis B, Chronic']","Bausch Health Americas, Inc.","[{'type': 'drug', 'name': 'pradefovir mesylate'}, {'type': 'drug', 'name': 'adefovir dipivoxyl'}]",True,adverse findings from nonclinical carcinogenicity studies.,True,pradefovir mesylate
NCT03437720,Assessment of the Safety and Effect of SAR425899 Versus Placebo for the Treatment of Non-alcoholic Fatty Liver Disease,"Study duration per participant will be approximately 64 weeks, consisting of up to 8 weeks screening plus 52 weeks treatment and 4 weeks post treatment follow-up.",[],WITHDRAWN,"Sponsor decision to cancel TRIAL, not related to safety concern.","[{'type': 'DRUG', 'name': 'SAR425899', 'description': 'Pharmaceutical form: Solution for injection\n\nRoute of administration: Subcutaneous injection', 'armGroupLabels': ['SAR425899 (High Dose)', 'SAR425899 (Low Dose)']}, {'type': 'DRUG', 'name': 'Placebo', 'description': 'Pharmaceutical form: Solution for injection\n\nRoute of administration: Subcutaneous injection', 'armGroupLabels': ['Placebo (High Dose)', 'Placebo (Low Dose)']}]","['Non-alcoholic Steatohepatitis', 'Type 2 Diabetes Mellitus']",Sanofi,"[{'type': 'drug', 'name': 'sar425899', 'description': 'pharmaceutical form: solution for injection\n\nroute of administration: subcutaneous injection', 'armgrouplabels': ['sar425899 (high dose)', 'sar425899 (low dose)']}, {'type': 'drug', 'name': 'placebo', 'description': 'pharmaceutical form: solution for injection\n\nroute of administration: subcutaneous injection', 'armgrouplabels': ['placebo (high dose)', 'placebo (low dose)']}]",True,"sponsor decision to cancel trial, not related to safety concern.",True,sar425899
NCT04152382,A Safety Study of LY3462817 and LY3509754 in Participants With Psoriasis,,[],TERMINATED,Terminated due to liver findings,"[{'type': 'DRUG', 'name': 'LY3462817 - IV', 'description': 'Administered IV', 'armGroupLabels': ['LY3462817 - Intravenous (IV)']}, {'type': 'DRUG', 'name': 'LY3462817 - SC', 'description': 'Administered SC', 'armGroupLabels': ['LY3462817 - Subcutaneous (SC)']}, {'type': 'DRUG', 'name': 'Placebo - IV', 'description': 'Administered IV', 'armGroupLabels': ['Placebo - IV']}, {'type': 'DRUG', 'name': 'Placebo - SC', 'description': 'Administered SC', 'armGroupLabels': ['Placebo - SC']}, {'type': 'DRUG', 'name': 'LY3509754', 'description': 'Administered orally.', 'armGroupLabels': ['LY3509754']}, {'type': 'DRUG', 'name': 'Placebo', 'description': 'Administered orally.', 'armGroupLabels': ['Placebo']}]",['Psoriasis'],Eli Lilly and Company,"[{'type': 'drug', 'name': 'ly3462817 - iv', 'description': 'administered iv', 'armgrouplabels': ['ly3462817 - intravenous (iv)']}, {'type': 'drug', 'name': 'ly3462817 - sc', 'description': 'administered sc', 'armgrouplabels': ['ly3462817 - subcutaneous (sc)']}, {'type': 'drug', 'name': 'placebo - iv', 'description': 'administered iv', 'armgrouplabels': ['placebo - iv']}, {'type': 'drug', 'name': 'placebo - sc', 'description': 'administered sc', 'armgrouplabels': ['placebo - sc']}, {'type': 'drug', 'name': 'ly3509754', 'description': 'administered orally.', 'armgrouplabels': ['ly3509754']}, {'type': 'drug', 'name': 'placebo', 'description': 'administered orally.', 'armgrouplabels': ['placebo']}]",True,terminated due to liver findings,True,ly3462817 - iv
